t,x,y,z,roll,pitch,yaw,rollRate,pitchRate,yawRate,targetAlt,rollInputScaled,pitchInputScaled,yawIn,vertIn,pitchDist,rollDist,ex_b,ey_b,vx_b,vy_b,scaleXY,tiltComp,inFL,inFR,inRL,inRR
1.056,0.49480,-0.00000,0.06557,0.00000,-0.07015,-0.00000,0.00000,0.00028,-0.00000,1.200,0.0002,-2.1041,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,1.0025,69.578,69.578,73.786,73.786
1.184,0.49480,-0.00000,0.06557,0.00000,-0.07013,-0.00000,0.00000,0.00012,-0.00000,1.200,0.0002,-2.1037,0.0000,2.9999,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,1.0025,69.601,69.602,73.808,73.809
1.312,0.49480,-0.00000,0.06557,0.00000,-0.07011,-0.00000,0.00000,0.00007,-0.00000,1.200,0.0002,-2.1034,0.0000,2.9999,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,1.0025,69.624,69.625,73.831,73.832
1.440,0.49480,-0.00000,0.06558,0.00001,-0.07011,-0.00000,0.00000,0.00006,-0.00000,1.200,0.0003,-2.1031,0.0000,2.9999,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,1.0025,69.648,69.648,73.854,73.854
1.568,0.49480,-0.00000,0.06558,0.00001,-0.07010,-0.00000,0.00000,0.00007,-0.00000,1.200,0.0003,-2.1029,0.0000,2.9999,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,1.0025,69.671,69.671,73.877,73.877
1.696,0.49480,-0.00000,0.06558,0.00001,-0.07009,-0.00000,0.00000,0.00009,-0.00000,1.200,0.0003,-2.1025,0.0000,2.9998,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,1.0025,69.694,69.695,73.899,73.900
1.824,0.49480,-0.00000,0.06559,0.00001,-0.07007,-0.00000,0.00000,0.00011,-0.00000,1.200,0.0003,-2.1021,0.0000,2.9998,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,1.0025,69.718,69.718,73.922,73.923
1.952,0.49480,-0.00000,0.06559,0.00001,-0.07006,-0.00000,0.00000,0.00013,-0.00000,1.200,0.0003,-2.1016,0.0000,2.9998,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,1.0025,69.741,69.742,73.944,73.945
2.080,0.49480,-0.00000,0.06560,0.00001,-0.07004,-0.00000,0.00000,0.00015,-0.00000,1.200,0.0004,-2.1010,0.0000,2.9997,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,1.0025,69.765,69.765,73.967,73.967
2.208,0.49481,-0.00000,0.06561,0.00001,-0.07002,-0.00000,0.00000,0.00018,-0.00000,1.200,0.0004,-2.1004,0.0000,2.9997,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,1.0025,69.788,69.789,73.989,73.990
